tow_id,segment_type,latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C)
55332,2,40.1056,-69.9612,25.5,7.366
55332,2,40.1056,-69.9612,24.4,7.393
55332,2,40.1056,-69.9612,22.4,7.4
55332,2,40.1056,-69.9612,21.1,7.407
55332,2,40.1056,-69.9612,20.0,7.435
55332,2,40.1056,-69.9612,18.8,7.424
55332,2,40.1056,-69.9612,17.4,7.419
55332,2,40.1056,-69.9612,16.1,7.42
55332,2,40.1056,-69.9612,14.9,7.415
55332,2,40.1056,-69.9612,13.8,7.445
55332,2,40.1056,-69.9612,12.5,7.455
55332,2,40.1056,-69.9612,11.5,7.459
55332,2,40.1056,-69.9612,10.5,7.49
55332,2,40.1056,-69.9612,9.4,7.587
55332,2,40.1056,-69.9612,8.1,7.708
55332,2,40.1056,-69.9612,6.8,7.728
55332,2,40.1056,-69.9612,5.7,7.745
55332,2,40.1056,-69.9612,3.8,7.765
55332,2,40.1056,-69.9612,2.4,7.799
55332,2,40.1056,-69.9612,1.3,7.814
