MAC_ADDRESS,SERIAL_NUMBER
F0:5E:CD:25:A4:25,2503725
F0:5E:CD:25:A3:74,2503726
F0:5E:CD:25:A4:31,2503727
F0:5E:CD:25:A4:37,2503730
F0:5E:CD:25:A3:7B,2503731
F0:5E:CD:25:A1:0F,2503732
F0:5E:CD:25:A3:72,2503734
F0:5E:CD:25:A4:69,2504700
F0:5E:CD:25:A2:63,2504701
F0:5E:CD:25:A2:06,2504702
F0:5E:CD:25:A0:73,2504703
F0:5E:CD:25:A3:1C,2504704
F0:5E:CD:25:A3:22,2504705
F0:5E:CD:25:A3:5D,2504706
F0:5E:CD:25:A2:50,2504707
F0:5E:CD:25:A2:3B,2504708
F0:5E:CD:25:A0:7A,2504709
F0:5E:CD:25:A1:43,2504710
F0:5E:CD:25:A0:78,2504711
F0:5E:CD:25:A2:0C,2504712
F0:5E:CD:25:A2:5E,2504713
F0:5E:CD:25:A4:61,2504714
F0:5E:CD:25:A2:2A,2504715
F0:5E:CD:25:A0:33,2504716
F0:5E:CD:25:A0:49,2504717
F0:5E:CD:25:A0:6C,2504718
F0:5E:CD:25:A1:00,2504719
F0:5E:CD:25:A4:11,2504721
F0:5E:CD:25:A0:38,2504722
F0:5E:CD:25:A4:5D,2504723
F0:5E:CD:25:A3:7A,2504724
F0:5E:CD:25:A3:6B,2504725
F0:5E:CD:25:34:92,2504726
F0:5E:CD:25:A3:7D,2504727
F0:5E:CD:25:A1:42,2504728
F0:5E:CD:25:A4:6F,2504729
F0:5E:CD:25:A0:74,2504730
F0:5E:CD:25:A2:25,2504731
F0:5E:CD:25:A1:7A,2504732
F0:5E:CD:25:A0:7E,2504733
F0:5E:CD:25:A3:35,2504734
F0:5E:CD:25:A4:2F,2504735
F0:5E:CD:25:A1:59,2504736
F0:5E:CD:25:A3:2B,2504737
F0:5E:CD:25:A4:59,2504738
F0:5E:CD:25:A1:72,2504739
F0:5E:CD:25:A2:36,2504740
F0:5E:CD:25:A4:0F,2504741
F0:5E:CD:25:A4:00,2504742
F0:5E:CD:25:A4:2D,2504743
F0:5E:CD:25:A3:19,2504744
F0:5E:CD:25:A0:62,2504745
F0:5E:CD:25:A1:0B,2504747
F0:5E:CD:25:A1:08,2504748
F0:5E:CD:25:A1:4A,2504749
F0:5E:CD:25:A0:7B,2504750
F0:5E:CD:25:94:15,2506700
F0:5E:CD:25:A2:07,2506701
F0:5E:CD:25:A1:36,2506702
F0:5E:CD:25:A2:3A,2506703
F0:5E:CD:25:A1:4B,2506704
F0:5E:CD:25:A1:10,2506705
F0:5E:CD:25:A2:2D,2506706
F0:5E:CD:25:A1:61,2506707
F0:5E:CD:25:A2:62,2506708
F0:5E:CD:25:A0:75,2506709
F0:5E:CD:25:A1:03,2506710
F0:5E:CD:25:A0:3B,2506711
F0:5E:CD:25:A3:20,2506713
F0:5E:CD:25:A2:2B,2506714
F0:5E:CD:25:95:EB,2506715
F0:5E:CD:25:95:D7,2506716
F0:5E:CD:25:94:26,2506717
F0:5E:CD:25:A2:32,2506718
F0:5E:CD:25:A0:25,2506719
F0:5E:CD:25:A1:1D,2506720
F0:5E:CD:25:A1:0C,2506723
F0:5E:CD:25:A0:76,2506725
F0:5E:CD:25:A1:21,2506726
F0:5E:CD:25:A1:26,2506727
F0:5E:CD:25:A1:06,2506728
F0:5E:CD:25:A0:50,2506729
F0:5E:CD:25:A0:6A,2506730
F0:5E:CD:25:A1:33,2506731
F0:5E:CD:25:A2:1B,2506732
F0:5E:CD:25:A0:3E,2506733
F0:5E:CD:25:A1:1A,2506734
F0:5E:CD:25:A0:3C,2506735
F0:5E:CD:25:A0:35,2506736
F0:5E:CD:25:A4:19,2506737
F0:5E:CD:25:A0:40,2506738
F0:5E:CD:25:A2:19,2506739
F0:5E:CD:25:A1:04,2506740
F0:5E:CD:25:A2:0A,2506741
F0:5E:CD:25:95:FD,2506742
F0:5E:CD:25:9C:C9,2506743
F0:5E:CD:25:9C:BA,2506744
F0:5E:CD:25:95:DB,2506745
F0:5E:CD:25:95:DA,2506747
F0:5E:CD:25:92:D2,2506748
F0:5E:CD:25:A4:02,2506749
F0:5E:CD:25:A2:27,2506750
F0:5E:CD:25:A4:0E,2506751
F0:5E:CD:25:A2:2F,2506752
F0:5E:CD:25:A1:2E,2506753
F0:5E:CD:25:A1:1E,2506754
F0:5E:CD:25:A1:74,2508600
,259
,26
,260
,261
,27
,28
,3
,31
,310
,311
FF:D7:BE:02:D5:E7,312
,316
,317
,319
,320
,321
,322
,323
,324
,325
,327
,3298
,33
,332
04:EE:03:E2:4F:F9,3333333
,334
,34
,3502
,3560
,36
,3643
,3644
,3645
,3646
,3649
,3650
,3651
,3652
,3653
,3654
,3655
,3656
,3658
,3660
,3661
,3664
,3667
,3668
,3669
,367
,3670
,3671
,3672
,3674
,3676
,3677
,3678
,3681
,3682
,3683
,3686
,3687
,3688
,370
,3701
,3704
,372
,384
,385
,39
,391
,3944
,3945
,3946
,3947
,3948
,3949
,3951
,3953
,4
,40
,404
,405
,406
,407
,408
,4086
,409
,41
,410
,411
,412
,4126
,414
,416
,418
,419
,42
,420
,421
,422
,423
,425
,44
,450
,451
,4516
,4517
,4518
,4519
,4520
,4521
,4522
,4523
,4524
,4525
,454
,455
,456
,457
,46
,47
,471
,48
,4844
,4845
,4863
,4864
,4865
,4866
,4867
,4868
,4869
,4871
,4872
,4873
,4874
,4875
,49
,491
,4911
,4912
,4913
,4914
,4918
,499
,5
,50
,507
,5090
,5091
,5092
,5093
,51
,52
,54
,5526
,5527
,5530
,5535
,558
,5580
,56
,5603
,561
,5634
,5641
,5644
,5645
,5646
,5647
,5648
,5649
,5650
,5651
,5652
,5805
,59
,5932
,5933
,5935
,5936
,5937
,5938
,5939
,5940
,5942
,5943
,5944
,5945
,5946
,5947
,5948
,5951
,5952
,5955
,5956
,60
,6004
,6005
,6006
,6007
,6008
,6009
,6010
,6011
,6014
,6015
,6016
,6017
,6018
,6019
,6021
,6022
,6023
,6024
,6025
,6026
,6027
,6028
,6030
,6031
,6032
,6033
,6034
,6035
,6036
,6037
,6038
,6039
,6040
,6041
,6042
,6043
,6044
,6046
,6047
,6048
,6049
,61
,6198
,6199
,6200
,6202
,6203
,6204
,6205
,6207
,6208
,6209
,6210
,6211
,6212
,6213
,6214
,6215
,6216
,6217
,6218
,6219
,6220
,6221
,6222
,6223
,6224
,6227
,6228
,6230
,6231
,6232
,6234
,6236
,6237
,6238
,6240
,6241
,6242
,6245
,6246
,6247
,6279
,6280
,6281
,6282
,6283
,6284
,6285
,6286
,6287
,6288
,6289
,6292
,6305
,6306
,6307
,6308
,6309
,6310
,6312
,6314
,6408
,6409
,6410
,68
F1:0F:49:8B:F2:75,68
,7
DD:C4:4E:85:73:CB,700
,710
,7190
,7219
,7222
,7254
,7275
,7282
E3:4F:C6:51:21:1F,730
,7301
,7303
,7304
,7306
F4:5B:AA:75:09:C8,731
,7311
,7317
,7319
CD:BD:B5:B3:5E:D5,732
,7328
C0:E4:DB:C3:72:D8,733
,7332
D9:65:4A:7A:4C:7C,734
E2:12:28:16:24:72,735
FE:9B:54:E0:F8:6C,736
E7:F8:4D:94:23:21,737
CA:64:0D:67:2F:B3,738
FB:82:65:F1:D9:6F,740
FA:71:23:50:38:30,741
,7421
,7422
,7424
EF:ED:BE:F0:9C:98,743
C5:49:6F:25:4A:38,744
FE:69:55:21:02:DB,745
,745
,746
,748
C6:7A:D0:33:41:3F,748
,749
C0:BB:18:FA:5C:AB,749
D1:A1:6A:95:93:8A,750
,750
