"INVENTORY_PK","SERIAL_NUMBER","EQUIPMENT_TYPE_PK","MAKE","MODEL","SOFTWARE_VERSION","FIRMWARE_VERSION","CALIBRATION_DATE","EQUIPMENT_LOCATION_PK","CONTACT_PK","FUNDING_SOURCE_PK","PURCHASE_DATE","PURCHASE_PRICE_USD","MAC_ADDRESS","IMEI"
NA,2503605,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A2:7B",NA
NA,2503606,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A4:2A",NA
NA,2503607,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A4:35",NA
NA,2503608,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A2:48",NA
NA,2503609,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A2:5C",NA
NA,2503706,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-28,2,757,7,2025-04-28,1000,"F0:5E:CD:25:A2:2E",NA
NA,2503707,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-28,2,757,7,2025-04-28,1000,"F0:5E:CD:25:A0:2B",NA
NA,2503708,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-28,2,757,7,2025-04-28,1000,"F0:5E:CD:25:A1:4D",NA
NA,2503709,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-30,2,757,7,2025-04-30,1000,"F0:5E:CD:25:A0:51",NA
NA,2503710,1,"LOWELL","TDO-1",NA,"4.1.23",2025-05-02,2,757,7,2025-05-02,1000,"F0:5E:CD:25:A2:22",NA
NA,2503711,1,"LOWELL","TDO-1",NA,"4.1.23",2025-05-02,2,757,7,2025-05-02,1000,"F0:5E:CD:25:A2:6A",NA
NA,2503712,1,"LOWELL","TDO-1",NA,"4.1.23",2025-05-02,2,757,7,2025-05-02,1000,"F0:5E:CD:25:A2:10",NA
NA,2503713,1,"LOWELL","TDO-1",NA,"4.1.23",2025-05-02,2,757,7,2025-05-02,1000,"F0:5E:CD:25:A2:69",NA
NA,2503714,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A2:0D",NA
NA,2503716,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A1:7E",NA
NA,2503718,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A4:50",NA
NA,2503719,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A4:4C",NA
NA,2503720,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A2:38",NA
NA,2503721,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A1:1F",NA
NA,2503723,1,"LOWELL","TDO-1",NA,"4.1.23",NA,2,757,7,NA,1000,"F0:5E:CD:25:A2:3E",NA
